Experiment Number, Parameters, Grapheme Decoder CER,Phoneme+Grapheme Decoder CER, Phoneme Decoder PER, Phoneme+Grapheme Decoder PER
171,blstmp_3_multi_head_dot_gru_3,38,35.3,23.4,23.1
172,blstmp_5_multi_head_dot_lstm_5,38,33.6,22.7,22.1
173,blstmp_5_multi_head_dot_gru_5,37,34.9,22.4,22.5
174,bgrup_1_multi_head_dot_lstm_1,47,41.5,25,26.6
175,bgrup_1_multi_head_dot_gru_1,47.1,48.3,39.6,32.1
176,bgrup_3_multi_head_dot_lstm_3,35.7,34.8,20.9,22.2
177,bgrup_3_multi_head_dot_gru_3,36,32.8,21.1,21.1
178,bgrup_5_multi_head_dot_lstm_5,35.4,32.6,20.5,21.1
179,bgrup_5_multi_head_dot_gru_5,35.5,33.1,21.3,21.3
180,vggblstmp_1_multi_head_dot_lstm_1,42,39.9,22.3,23.6
181,vggblstmp_1_multi_head_dot_gru_1,41.9,39.3,24.3,23.3
182,vggblstmp_3_multi_head_dot_lstm_3,39.6,34.6,22.1,22
183,vggblstmp_3_multi_head_dot_gru_3,38.9,34.9,22.6,22.2
184,vggblstmp_5_multi_head_dot_lstm_5,43.8,35.9,34.4,23.5
185,vggblstmp_5_multi_head_dot_gru_5,38.7,47.4,28.4,31.3
186,vggbgrup_1_multi_head_dot_lstm_1,42.3,39.4,21.9,23
187,vggbgrup_1_multi_head_dot_gru_1,41.5,39.9,23.3,23.4
188,vggbgrup_3_multi_head_dot_lstm_3,37.2,0,21.2,0
189,vggbgrup_3_multi_head_dot_gru_3,37,0,21.4,0
190,vggbgrup_5_multi_head_dot_lstm_5,35.9,0,25.2,0
191,vggbgrup_5_multi_head_dot_gru_5,34.7,0,21,0
192,blstmp_1_multi_head_add_lstm_1,49.7,0,33.9,0
193,blstmp_1_multi_head_add_gru_1,46.1,0,39.3,0
194,blstmp_3_multi_head_add_lstm_3,40.1,0,22.2,0
195,blstmp_3_multi_head_add_gru_3,39.9,0,31.9,0
196,blstmp_5_multi_head_add_lstm_5,39.8,0,22.2,0
197,blstmp_5_multi_head_add_gru_5,42.4,0,33.1,0
198,bgrup_1_multi_head_add_lstm_1,0,44.9,25,28.8
199,bgrup_1_multi_head_add_gru_1,0,43.3,37.6,28.1
200,bgrup_3_multi_head_add_lstm_3,39.9,37.3,21,24.3
201,bgrup_3_multi_head_add_gru_3,38.5,35.8,34.7,23.2
202,bgrup_5_multi_head_add_lstm_5,37.2,34.7,21,23.1
203,bgrup_5_multi_head_add_gru_5,38.4,34.3,29.9,22.8
204,vggblstmp_1_multi_head_add_lstm_1,43.3,41.3,23.8,25.2
205,vggblstmp_1_multi_head_add_gru_1,43.7,40.8,33.3,25.1
206,vggblstmp_3_multi_head_add_lstm_3,38.6,35.8,22.1,23.1
207,vggblstmp_3_multi_head_add_gru_3,40.2,36.1,31.3,23.4
208,vggblstmp_5_multi_head_add_lstm_5,48.3,40.6,57.5,26.8
209,vggblstmp_5_multi_head_add_gru_5,45.4,37.8,43.2,25.9
210,vggbgrup_1_multi_head_add_lstm_1,41.9,40.6,23.1,24.5
211,vggbgrup_1_multi_head_add_gru_1,44.1,40.1,35.6,24.6
212,vggbgrup_3_multi_head_add_lstm_3,38.1,35.7,21.6,23.1
213,vggbgrup_3_multi_head_add_gru_3,38.3,35.1,32,22.9
214,vggbgrup_5_multi_head_add_lstm_5,39.7,0,21.6,0
215,vggbgrup_5_multi_head_add_gru_5,37.6,0,35.2,0
216,blstmp_1_multi_head_loc_lstm_1,45.4,0,25.5,0
217,blstmp_1_multi_head_loc_gru_1,45.7,0,25,0
218,blstmp_3_multi_head_loc_lstm_3,38.2,0,38.8,0
219,blstmp_3_multi_head_loc_gru_3,38.3,0,22.2,0
220,blstmp_5_multi_head_loc_lstm_5,0,0,32.2,0
221,blstmp_5_multi_head_loc_gru_5,0,0,22.7,0
222,bgrup_1_multi_head_loc_lstm_1,0,0,46.7,0
223,bgrup_1_multi_head_loc_gru_1,0,0,23.5,0
224,bgrup_3_multi_head_loc_lstm_3,0,0,29.9,0
225,bgrup_3_multi_head_loc_gru_3,0,0,20.4,0
226,bgrup_5_multi_head_loc_lstm_5,0,0,29.7,0
227,bgrup_5_multi_head_loc_gru_5,0,0,20.3,0
228,vggblstmp_1_multi_head_loc_lstm_1,0,0,30.7,0
229,vggblstmp_1_multi_head_loc_gru_1,0,0,22.2,0
230,vggblstmp_3_multi_head_loc_lstm_3,37.4,0,32,0
231,vggblstmp_3_multi_head_loc_gru_3,37.3,0,21.4,0
232,vggblstmp_5_multi_head_loc_lstm_5,38.2,0,,0
233,vggblstmp_5_multi_head_loc_gru_5,37.3,0,22.5,0
234,vggbgrup_1_multi_head_loc_lstm_1,40,0,29.8,0
235,vggbgrup_1_multi_head_loc_gru_1,39.9,0,21.9,0
236,vggbgrup_3_multi_head_loc_lstm_3,0,0,31.8,0
237,vggbgrup_3_multi_head_loc_gru_3,0,0,21.1,0
238,vggbgrup_5_multi_head_loc_lstm_5,0,0,31.3,0
239,vggbgrup_5_multi_head_loc_gru_5,0,0,21.6,0
240,blstmp_1_multi_head_multi_res_loc_lstm_1,0,0,37.5,0
241,blstmp_1_multi_head_multi_res_loc_gru_1,0,0,37.7,0
242,blstmp_3_multi_head_multi_res_loc_lstm_3,0,0,22.1,0
243,blstmp_3_multi_head_multi_res_loc_gru_3,0,0,32,0
244,blstmp_5_multi_head_multi_res_loc_lstm_5,0,0,21.6,0
245,blstmp_5_multi_head_multi_res_loc_gru_5,0,0,29.2,0
246,bgrup_1_multi_head_multi_res_loc_lstm_1,0,0,22.7,0
247,bgrup_1_multi_head_multi_res_loc_gru_1,0,0,36.5,0
248,bgrup_3_multi_head_multi_res_loc_lstm_3,0,0,20.4,0
249,bgrup_3_multi_head_multi_res_loc_gru_3,0,0,28.1,0
250,bgrup_5_multi_head_multi_res_loc_lstm_5,0,0,20,0
251,bgrup_5_multi_head_multi_res_loc_gru_5,0,0,31.8,0
252,vggblstmp_1_multi_head_multi_res_loc_lstm_1,0,0,21.7,0
253,vggblstmp_1_multi_head_multi_res_loc_gru_1,0,0,32.8,0
254,vggblstmp_3_multi_head_multi_res_loc_lstm_3,0,0,22.1,0
255,vggblstmp_3_multi_head_multi_res_loc_gru_3,0,0,29,0
256,vggblstmp_5_multi_head_multi_res_loc_lstm_5,0,0,23.1,0
257,vggblstmp_5_multi_head_multi_res_loc_gru_5,0,0,37.1,0
258,vggbgrup_1_multi_head_multi_res_loc_lstm_1,0,0,21.8,0
259,vggbgrup_1_multi_head_multi_res_loc_gru_1,0,0,29.3,0
260,vggbgrup_3_multi_head_multi_res_loc_lstm_3,0,0,20.6,0
261,vggbgrup_3_multi_head_multi_res_loc_gru_3,0,0,30.3,0
262,vggbgrup_5_multi_head_multi_res_loc_lstm_5,0,0,21.4,0
263,vggbgrup_5_multi_head_multi_res_loc_gru_5,0,0,27.4,0
